date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,precipitation,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,temperature_80m,temperature_120m,temperature_180m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2025-05-16 00:00:00+00:00,25.9585,96.0,25.270678,32.45322,18.0,0.0,0.0,0.0,0.0,3.0,1008.5,1007.8092,100.0,45.0,91.0,100.0,24140.0,0.01,0.017969897,0.13398981,0.0,2.9024127,7.10031,9.904906,13.202726,119.74479,149.53453,160.90642,168.9965,7.92,25.758501,25.4585,25.1585,26.1585,26.6585,28.258501,29.9085,0.391,0.392,0.388,0.346,0.364
2025-05-16 01:00:00+00:00,26.6085,94.0,25.562286,33.1084,50.0,0.1,0.0,0.0,0.0,61.0,1009.2,1008.5101,100.0,37.0,91.0,100.0,11640.0,0.03,0.065045334,0.20882821,0.1,4.198285,7.6367526,10.495713,13.1041975,120.96369,135.0001,149.03632,159.07542,8.28,25.8585,25.5585,25.258501,27.7085,26.8585,28.1585,29.8585,0.39,0.39,0.387,0.346,0.364
2025-05-16 02:00:00+00:00,27.3585,91.0,25.758259,33.51989,68.0,0.1,0.0,0.0,0.0,61.0,1009.5,1008.81177,100.0,60.0,89.0,100.0,4740.0,0.11,0.1271035,0.3273151,0.1,7.42159,9.0,12.287555,14.48972,140.90616,143.13002,148.17259,153.43501,14.4,26.258501,25.758501,25.3585,28.2085,27.4085,28.1585,29.8585,0.388,0.388,0.386,0.347,0.364
2025-05-16 03:00:00+00:00,28.1585,89.0,26.172281,34.50608,80.0,0.0,0.8,0.0,0.0,95.0,1010.1,1009.41327,100.0,58.0,95.0,100.0,10000.0,0.23,0.23101245,0.41913056,0.8,8.0899935,9.693296,10.495713,12.594856,147.72438,148.67137,149.03632,149.03632,20.16,26.758501,26.0585,25.258501,29.6585,28.1085,28.1585,29.8585,0.408,0.4,0.386,0.347,0.364
2025-05-16 04:00:00+00:00,28.8085,87.0,26.426958,35.360428,75.0,0.0,0.2,0.0,0.0,3.0,1009.8,1009.1147,100.0,68.0,95.0,100.0,16500.0,0.24,0.23992494,0.514343,0.2,7.9036193,9.826088,10.315115,10.630672,149.9315,151.55717,150.75127,151.69934,19.44,27.3585,26.6585,25.8585,30.9585,28.7085,28.2085,29.8585,0.398,0.397,0.386,0.348,0.364
2025-05-16 05:00:00+00:00,29.4585,83.0,26.266333,35.518303,70.0,0.0,0.2,0.0,0.0,80.0,1009.2,1008.51666,100.0,74.0,93.0,100.0,3280.0,0.3,0.27716148,0.6983187,0.2,10.495713,13.217443,14.021525,14.336861,149.03632,150.64235,150.80261,151.50446,27.0,28.0585,27.3585,26.4585,31.0585,29.3085,28.3085,29.8085,0.395,0.395,0.386,0.348,0.364
2025-05-16 06:00:00+00:00,28.8585,83.0,25.680292,34.67737,58.0,0.0,0.6,0.0,0.0,80.0,1009.2,1008.51544,100.0,73.0,96.0,100.0,7500.0,0.31,0.2561056,0.6746061,0.6,9.387651,11.792404,12.10157,12.594856,147.52882,148.73633,149.62096,149.03632,28.44,27.4585,26.758501,25.8585,30.3585,29.1585,28.3585,29.8085,0.421,0.414,0.394,0.348,0.364
2025-05-16 07:00:00+00:00,28.9585,81.0,25.367115,34.70533,50.0,0.0,0.1,0.0,0.0,3.0,1008.2,1007.5161,100.0,66.0,94.0,100.0,19660.0,0.28000003,0.23770544,0.75836825,0.1,8.435069,11.019764,11.019764,11.304229,140.19447,141.63248,141.63248,142.76509,20.16,27.758501,27.0585,26.1585,29.8585,29.3585,28.4585,29.8085,0.403,0.406,0.395,0.349,0.364
2025-05-16 08:00:00+00:00,29.3585,79.0,25.335577,35.190094,63.0,0.0,0.0,0.0,0.0,3.0,1007.4,1006.71765,100.0,57.0,84.0,100.0,23500.0,0.27,0.26313862,0.8577645,0.0,7.7043357,9.220499,9.220499,9.504272,142.59457,141.34016,141.34016,142.69597,16.919998,27.9585,27.258501,26.3585,31.008501,29.6085,28.5585,29.758501,0.394,0.398,0.394,0.349,0.364
2025-05-16 09:00:00+00:00,29.6085,78.0,25.36383,35.458454,45.0,0.0,0.0,0.0,0.0,3.0,1006.2,1005.51904,100.0,53.0,48.0,100.0,24140.0,0.28000003,0.2665573,0.9116285,0.0,7.7043357,9.220499,9.504272,9.504272,142.59457,141.34016,142.69597,142.69597,15.84,28.258501,27.5585,26.6585,31.1585,29.9585,28.6585,29.758501,0.388,0.392,0.393,0.35,0.364
